Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,100,2.00E+06,0.59970015
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,100,2.00E+06,0.623441397
1,0,2,2,2,1250,1250,1,3,0,4,0,72,5000,25,12,80,NA,2.6
1,0,2,2,2,2750,2750,1,3,0,6,0,72,5000,25,12,80,NA,5.2
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,500,20000,7.073954984
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,300,6.00E+05,7.505430433
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,150,6.00E+05,9.563278838
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,200,6.00E+05,10.53504059
1,0,2,2,2,1250,1250,1,3,0,5,0,72,5000,25,12,80,NA,11.4
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,100,780000,12.07264957
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,250,6.00E+05,12.23848177
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,500,2500000,12.4852768
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,500,2500000,12.58823529
2,0,0,0,1,NA,NA,NA,3,0,2,0,144,4000,25,12,100,2500000,12.70588235
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,100,6.00E+05,14.37064136
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,100,2.00E+06,14.73354232
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,100,2500000,14.8409894
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,100,2500000,14.94117647
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,100,780000,15.05042669
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,50,2.00E+06,23.44139651
